mode,ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed
2W,D1,EURCAD,short,2023-07-31,2023-08-14,1.47184,1.48022,0.008380000000000054,2023-08-21,2023-08-22,1.47848,1.47856,2023-08-30,1.47817,1.46346,1.4880424832214765,2023-09-01,1.46346,win,1.49
2W,D1,EURCHF,long,2020-08-17,2020-08-31,1.0722,1.07639,0.004189999999999916,2020-09-10,2020-09-11,1.07504,1.07538,2020-09-15,1.07578,1.0805799999999999,1.07078,2020-09-24,1.0805799999999999,win,0.9599999999999831
2W,D1,EURCHF,long,2023-07-17,2023-07-31,0.95224,0.95888,0.006639999999999979,2023-08-03,2023-08-04,0.95604,0.95694,2023-08-15,0.95795,0.9655199999999999,0.951576,2023-08-23,0.951576,loss,-1.0
2W,D1,EURCHF,long,2024-10-07,2024-10-21,0.93326,0.93975,0.006489999999999996,2024-10-28,2024-10-29,0.93491,0.9353,2024-11-12,0.93672,0.94624,0.9303307382550335,2024-11-21,0.9303307382550335,loss,-1.0
2W,D1,EURCHF,short,2015-08-03,2015-08-17,1.08431,1.09617,0.011859999999999982,2015-08-27,2015-08-28,1.08696,1.08711,2015-09-01,1.08492,1.0724500000000001,1.097356,2015-09-08,1.097356,loss,-1.0
2W,D1,EURGBP,long,2017-10-23,2017-11-06,0.87332,0.88781,0.014490000000000003,2017-11-07,2017-11-08,0.87916,0.8799,2017-11-30,0.879955,0.9023,0.864958355704698,2018-04-12,0.864958355704698,loss,-1.0
2W,D1,EURGBP,long,2022-10-10,2022-10-24,0.8572,0.87311,0.01591000000000009,2022-11-01,2022-11-02,0.85854,0.85958,2022-11-23,0.86229,0.8890200000000001,0.8443504026845636,2023-01-12,0.8890200000000001,win,1.49
2W,D1,EURGBP,short,2015-04-27,2015-05-11,0.72564,0.748335,0.02269500000000002,2015-05-15,2015-05-18,0.72826,0.72836,2015-06-02,0.726745,0.7029449999999999,0.7506045,2015-06-29,0.7029449999999999,win,0.9975062344139655
2W,D1,EURGBP,short,2023-01-30,2023-02-13,0.88548,0.89791,0.012429999999999941,2023-02-16,2023-02-17,0.89096,0.89288,2023-03-09,0.8876,0.8730500000000001,0.899153,2023-03-15,0.8730500000000001,win,1.2594131394442825
2W,D1,EURJPY,long,2015-01-19,2015-02-02,130.1565,132.666,2.5095000000000027,2015-01-30,2015-02-02,132.292,132.372,2015-03-05,132.489,135.1755,129.90555,2015-03-10,129.90555,loss,-1.0
2W,D1,EURJPY,long,2017-01-02,2017-01-16,120.544,121.861,1.3170000000000073,2017-01-25,2017-01-26,121.625,121.676,2017-01-30,121.699,123.17800000000001,120.4123,2017-02-06,120.4123,loss,-1.0
2W,D1,EURJPY,short,2019-12-09,2019-12-23,121.232,122.65,1.4180000000000064,2019-12-27,2019-12-30,122.487,122.504,2020-01-13,122.406,119.814,124.14559731543626,2020-01-28,119.814,win,1.49
2W,D1,EURJPY,short,2022-12-05,2022-12-19,144.759,146.73,1.9710000000000036,2022-12-19,2022-12-20,145.496,145.838,2023-03-02,144.934,142.78799999999998,146.9271,2023-03-13,142.78799999999998,win,1.0767146655963158
2W,D1,EURNZD,long,2015-11-23,2015-12-07,1.58045,1.61319,0.03273999999999999,2015-12-16,2015-12-17,1.60239,1.604675,2015-12-22,1.61001,1.64593,1.577176,2016-01-07,1.64593,win,1.0939879393311787
2W,D1,EURNZD,long,2019-12-23,2020-01-06,1.6619,1.6746,0.012700000000000156,2020-01-08,2020-01-09,1.66922,1.66936,2020-01-23,1.67075,1.6873000000000002,1.6596426174496641,2020-01-28,1.6873000000000002,win,1.4899999999999998
2W,D1,EURNZD,short,2020-05-11,2020-05-25,1.7878,1.8265,0.03869999999999996,2020-05-29,2020-06-01,1.79483,1.79814,2020-08-12,1.79118,1.7491,1.83037,2020-09-03,1.7491,win,1.0737433018627158
2W,D1,EURNZD,short,2023-05-22,2023-06-05,1.76723,1.78384,0.016610000000000014,2023-06-07,2023-06-08,1.77264,1.77367,2023-06-20,1.77022,1.75062,1.785501,2023-06-28,1.785501,loss,-1.0
2W,D1,EURNZD,short,2023-12-04,2023-12-18,1.7549,1.774,0.019100000000000117,2023-12-18,2023-12-19,1.75916,1.76097,2024-01-04,1.75566,1.7357999999999998,1.77591,2024-01-17,1.77591,loss,-1.0
2W,D1,EURUSD,long,2020-04-13,2020-04-27,1.07272,1.08232,0.009600000000000053,2020-05-06,2020-05-07,1.07666,1.0782,2020-05-14,1.08046,1.09192,1.0717599999999998,2020-05-18,1.09192,win,1.3172413793103248
2W,D1,EURUSD,long,2023-09-25,2023-10-09,1.04485,1.05872,0.013870000000000049,2023-10-18,2023-10-19,1.05232,1.05282,2023-10-26,1.05639,1.0725900000000002,1.043463,2023-11-03,1.0725900000000002,win,1.2531909955906495
2W,D1,EURUSD,short,2016-08-29,2016-09-12,1.123265,1.13273,0.009465000000000057,2016-09-14,2016-09-15,1.127395,1.128425,2016-09-26,1.125415,1.1138,1.1336765,2016-10-07,1.1138,win,1.4059190219694078
2W,D1,EURUSD,short,2018-07-02,2018-07-16,1.1686,1.1791,0.010499999999999954,2018-07-25,2018-07-26,1.17387,1.17439,2018-07-31,1.16894,1.1581000000000001,1.18015,2018-08-03,1.1581000000000001,win,0.9669937555753806
2W,D1,EURUSD,short,2018-12-17,2018-12-31,1.14439,1.14972,0.005330000000000057,2019-01-07,2019-01-08,1.1483,1.1485,2019-01-07,1.14745,1.13906,1.1530808724832216,2019-01-09,1.1530808724832216,loss,-1.0
2W,D1,EURUSD,short,2020-05-25,2020-06-08,1.12915,1.14222,0.013069999999999915,2020-06-15,2020-06-16,1.13327,1.13534,2020-06-23,1.13088,1.1160800000000002,1.143527,2020-07-15,1.143527,loss,-1.0
2W,D1,GBPAUD,long,2020-12-07,2020-12-21,1.74262,1.77431,0.031689999999999996,2020-12-30,2020-12-31,1.76267,1.76768,2021-01-04,1.77022,1.806,1.739451,2021-02-26,1.806,win,1.1628587214404222
2W,D1,GBPAUD,short,2021-08-16,2021-08-30,1.88242,1.91545,0.033030000000000115,2021-08-30,2021-08-31,1.88838,1.88885,2021-09-14,1.88631,1.8493899999999999,1.9187530000000002,2021-10-11,1.8493899999999999,win,1.1379958696791237
2W,D1,GBPAUD,short,2022-08-15,2022-08-29,1.7042,1.74346,0.03926000000000007,2022-09-06,2022-09-07,1.71278,1.71334,2022-09-14,1.7103,1.6649399999999999,1.747386,2022-09-23,1.6649399999999999,win,1.2231030577576405
2W,D1,GBPAUD,short,2022-10-10,2022-10-24,1.76996,1.82002,0.05005999999999999,2022-11-01,2022-11-02,1.79902,1.80085,2022-11-23,1.79028,1.7199,1.8375148993288593,2023-03-23,1.8375148993288593,loss,-1.0
2W,D1,GBPCAD,long,2018-05-21,2018-06-04,1.70549,1.7289,0.023410000000000153,2018-06-04,2018-06-05,1.72016,1.72018,2018-07-18,1.72096,1.7523100000000003,1.699919731543624,2018-08-02,1.699919731543624,loss,-1.0
2W,D1,GBPCAD,short,2019-01-21,2019-02-04,1.71357,1.75293,0.03936000000000006,2019-02-07,2019-02-08,1.7273,1.72744,2019-02-19,1.72592,1.67421,1.760624697986577,2019-03-04,1.760624697986577,loss,-1.0
2W,D1,GBPCAD,short,2019-04-01,2019-04-15,1.7418,1.76158,0.01977999999999991,2019-04-15,2019-04-16,1.75399,1.75502,2019-04-30,1.74525,1.72202,1.763558,2019-05-03,1.763558,loss,-1.0
2W,D1,GBPCHF,long,2018-05-21,2018-06-04,1.30523,1.31876,0.013530000000000042,2018-06-13,2018-06-14,1.31475,1.31688,2018-06-18,1.31826,1.33229,1.303877,2018-06-28,1.303877,loss,-1.0
2W,D1,GBPCHF,long,2018-12-17,2018-12-31,1.23362,1.2504,0.016780000000000017,2019-01-09,2019-01-10,1.2419,1.24402,2019-01-09,1.2462,1.26718,1.2319419999999999,2019-01-14,1.26718,win,1.4714546219666045
2W,D1,GBPCHF,short,2017-10-23,2017-11-06,1.30847,1.333,0.02452999999999994,2017-11-07,2017-11-08,1.31721,1.31743,2017-11-21,1.31242,1.28394,1.335453,2017-12-07,1.335453,loss,-1.0
2W,D1,GBPCHF,short,2017-12-04,2017-12-18,1.32033,1.34696,0.02662999999999993,2017-12-26,2017-12-27,1.32495,1.32914,2018-01-05,1.32248,1.2937,1.349623,2018-02-09,1.2937,win,1.0603102088936416
2W,D1,GBPCHF,short,2019-10-14,2019-10-28,1.27586,1.28948,0.013619999999999965,2019-10-29,2019-10-30,1.28138,1.28286,2019-11-11,1.27692,1.26224,1.290842,2019-11-27,1.290842,loss,-1.0
2W,D1,GBPCHF,short,2023-08-28,2023-09-11,1.11274,1.12081,0.008070000000000022,2023-09-11,2023-09-12,1.11686,1.11823,2023-09-29,1.11649,1.10467,1.1244228859060401,2023-10-13,1.10467,win,1.49
2W,D1,GBPNZD,long,2015-07-20,2015-08-03,2.315945,2.37012,0.05417499999999986,2015-08-07,2015-08-10,2.3351,2.338425,2015-08-21,2.34756,2.424295,2.29606,2015-08-24,2.424295,win,1.49
2W,D1,GBPNZD,short,2019-04-29,2019-05-13,1.97015,2.00238,0.03222999999999998,2019-05-13,2019-05-14,1.9744,1.97993,2019-09-18,1.97416,1.93792,2.0056030000000002,2019-10-08,1.93792,win,1.1525617784562365
2W,D1,GBPNZD,short,2019-10-14,2019-10-28,2.02048,2.05596,0.035479999999999734,2019-10-29,2019-10-30,2.03181,2.03242,2019-11-12,2.02901,1.9850000000000003,2.0595079999999997,2019-12-12,1.9850000000000003,win,1.4430454456029937
2W,D1,GBPNZD,short,2020-03-16,2020-03-30,2.06523,2.10408,0.03885000000000005,2020-04-09,2020-04-10,2.06914,2.07419,2020-04-14,2.06752,2.02638,2.107965,2020-05-08,2.02638,win,1.0171838298924438
