mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,max_hold_days,RR_MIN,RR_MAX,active_trades_at_entry
3D,ALL,H4,H4,EURAUD,short,2015-08-07,2015-08-12,1.51177,1.530155,0.018384999999999874,2015-08-12 01:00:00,2015-08-12 05:00:00,1.530055,1.530155,2015-08-20 09:00:00,1.525745,1.4933850000000002,1.5506373076923075,2015-08-21 17:00:00,1.5506373076923075,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,168.5378787878787,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,AUDUSD,long,2015-08-20,2015-08-25,0.70429,0.715555,0.01126500000000008,2015-08-27 01:00:00,2015-08-27 05:00:00,0.7099,0.71069,2015-08-31 13:00:00,0.711895,0.7268200000000001,0.7004142307692306,2015-09-01 21:00:00,0.7004142307692306,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,93.95681818181816,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,GBPNZD,short,2015-08-20,2015-08-25,2.43484,2.59397,0.15913000000000022,2015-08-24 17:00:00,2015-08-24 21:00:00,2.4352,2.44922,2015-09-07 05:00:00,2.43507,2.2757099999999997,2.609883,2015-10-07 05:00:00,2.314635,win,0.688936177515403,time_stop,wickdiffs_3D_H4_ALL_20260121_202249.csv,332.3515151515149,1.0,30,0.9,1.3,1
3D,ALL,H4,H4,GBPAUD,short,2015-08-20,2015-08-25,2.20487,2.24049,0.03561999999999976,2015-08-26 01:00:00,2015-08-26 05:00:00,2.20788,2.208855,2015-09-07 13:00:00,2.204855,2.1692500000000003,2.244052,2015-09-10 05:00:00,2.1692500000000003,win,0.9083603336989899,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,253.2219696969698,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,AUDNZD,short,2015-08-28,2015-09-02,1.108795,1.126435,0.0176400000000001,2015-09-02 17:00:00,2015-09-02 21:00:00,1.10931,1.10979,2015-09-07 21:00:00,1.109255,1.0911549999999999,1.1281990000000002,2015-09-14 09:00:00,1.1281990000000002,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,112.7999999999999,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,USDCAD,long,2015-09-07,2015-09-10,1.31547,1.325795,0.01032500000000014,2015-09-11 01:00:00,2015-09-11 05:00:00,1.32155,1.321735,2015-09-16 05:00:00,1.322235,1.3361200000000002,1.3108753787878789,2015-09-17 17:00:00,1.3108753787878789,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,113.5962121212122,1.0,30,0.9,1.3,2
3D,ALL,H4,H4,AUDUSD,short,2015-08-25,2015-08-28,0.716595,0.72503,0.00843499999999997,2015-08-27 21:00:00,2015-08-28 01:00:00,0.71905,0.720585,2015-09-16 13:00:00,0.718615,0.70816,0.7278099242424243,2015-09-18 09:00:00,0.7278099242424243,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,91.9492424242424,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,CADJPY,short,2015-09-07,2015-09-10,90.8925,92.0715,1.179000000000002,2015-09-10 05:00:00,2015-09-10 09:00:00,91.687,91.863,2015-09-16 13:00:00,91.5975,89.7135,93.04673076923076,2015-09-24 09:00:00,89.7135,win,1.3,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,110.3242424242425,1.0,30,0.9,1.3,4
3D,ALL,H4,H4,USDJPY,long,2015-09-15,2015-09-18,119.057,120.005,0.9479999999999933,2015-09-22 09:00:00,2015-09-22 13:00:00,119.694,119.704,2015-09-23 01:00:00,119.753,120.95299999999999,118.72730303030303,2015-09-25 05:00:00,120.95299999999999,win,1.1699361852989734,tp,wickdiffs_3D_H4_ALL_20260121_202249.csv,102.5696969696969,1.0,30,0.9,1.3,3
3D,ALL,H4,H4,NZDJPY,short,2015-09-15,2015-09-18,76.1675,77.515,1.3474999999999966,2015-09-21 09:00:00,2015-09-21 13:00:00,76.446,76.615,2015-09-24 17:00:00,76.296,74.82000000000001,77.64975,2015-10-05 01:00:00,77.64975,loss,-1.0,sl,wickdiffs_3D_H4_ALL_20260121_202249.csv,119.6522727272729,1.0,30,0.9,1.3,3
