mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,max_hold_days,RR_MIN,RR_MAX,active_trades_at_entry
M,ALL,H4,H4,CADCHF,long,2015-12-01,2016-01-01,0.6804,0.722735,0.04233500000000001,2016-01-21 02:00:00,2016-01-21 06:00:00,0.68896,0.69147,2016-02-11 06:00:00,0.692305,0.76507,0.636331923076923,2016-03-13 21:00:00,0.74352,win,0.9149934721363285,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,96.2878787878788,1.0,30,0.9,1.3,1
M,ALL,H4,H4,NZDCHF,long,2016-02-01,2016-03-01,0.637245,0.657955,0.020710000000000006,2016-03-24 05:00:00,2016-03-24 09:00:00,0.65148,0.651575,2016-04-04 21:00:00,0.652535,0.678665,0.632435,2016-04-20 17:00:00,0.678665,win,1.3,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,103.3098484848485,1.0,30,0.9,1.3,1
M,ALL,H4,H4,NZDCAD,long,2016-02-01,2016-03-01,0.8754,0.892665,0.017265000000000086,2016-03-25 09:00:00,2016-03-25 13:00:00,0.885175,0.885655,2016-04-08 09:00:00,0.885775,0.9099300000000001,0.8671942307692306,2016-04-24 21:00:00,0.8671942307692306,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,105.1924242424242,1.0,30,0.9,1.3,2
M,ALL,H4,H4,AUDNZD,long,2016-02-01,2016-03-01,1.05719,1.083445,0.026254999999999917,2016-02-29 22:00:00,2016-03-01 02:00:00,1.07652,1.0775,2016-05-06 01:00:00,1.078025,1.1097,1.0536596153846154,2016-06-03 09:00:00,1.0536596153846154,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,94.69393939393956,1.0,30,0.9,1.3,1
M,ALL,H4,H4,AUDJPY,long,2016-02-01,2016-03-01,77.59,80.48,2.8900000000000006,2016-02-11 14:00:00,2016-02-11 18:00:00,79.111,79.136,2016-05-06 01:00:00,79.1945,83.37,75.98257692307693,2016-06-05 21:00:00,78.487,loss,-0.22027302119506967,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,141.9780303030302,1.0,30,0.9,1.3,2
M,ALL,H4,H4,AUDCHF,long,2016-02-01,2016-03-01,0.67534,0.71296,0.03761999999999999,2016-02-24 14:00:00,2016-02-24 18:00:00,0.70668,0.70709,2016-05-13 09:00:00,0.70935,0.75058,0.671578,2016-06-12 21:00:00,0.711275,win,0.05096367679762663,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,96.61439393939396,1.0,30,0.9,1.3,3
M,ALL,H4,H4,EURNZD,long,2016-04-01,2016-05-02,1.61039,1.64129,0.030899999999999928,2016-05-01 21:00:00,2016-05-02 01:00:00,1.634355,1.635,2016-06-01 01:00:00,1.63916,1.6721899999999998,1.6073,2016-06-08 21:00:00,1.6073,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,177.019696969697,1.0,30,0.9,1.3,4
M,ALL,H4,H4,CHFJPY,long,2016-04-01,2016-05-02,109.844,110.846,1.0020000000000095,2016-05-27 09:00:00,2016-05-27 13:00:00,110.4735,110.563,2016-06-01 05:00:00,110.728,111.84800000000001,109.61041666666667,2016-06-03 09:00:00,109.61041666666667,loss,-1.0,sl,wickdiffs_M_H4_ALL_20260121_202249.csv,111.7583333333334,1.0,30,0.9,1.3,5
M,ALL,H4,H4,NZDJPY,long,2016-04-01,2016-05-02,72.547,74.176,1.6290000000000049,2016-05-27 17:00:00,2016-05-29 21:00:00,73.741,73.8205,2016-06-05 21:00:00,73.8875,75.805,72.38409999999999,2016-06-08 21:00:00,75.805,win,1.2754423307170326,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,104.9219696969698,1.0,30,0.9,1.3,3
M,ALL,H4,H4,EURUSD,long,2016-06-01,2016-07-01,1.0912,1.11062,0.019419999999999993,2016-07-28 13:00:00,2016-07-28 17:00:00,1.10686,1.10734,2016-08-05 13:00:00,1.10882,1.13004,1.089258,2016-08-16 09:00:00,1.13004,win,1.0847561599018594,tp,wickdiffs_M_H4_ALL_20260121_202249.csv,88.70151515151521,1.0,30,0.9,1.3,1
M,ALL,H4,H4,GBPCAD,long,2016-06-01,2016-07-01,1.6695,1.72029,0.05079000000000011,2016-07-13 21:00:00,2016-07-14 01:00:00,1.6994,1.7001,2016-08-10 09:00:00,1.70124,1.7710800000000002,1.647516923076923,2016-09-09 09:00:00,1.72127,win,0.3728379152348216,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,239.4446969696969,1.0,30,0.9,1.3,2
M,ALL,H4,H4,EURUSD,short,2016-07-01,2016-08-01,1.11746,1.13664,0.019180000000000197,2016-08-26 09:00:00,2016-08-26 13:00:00,1.13108,1.1341,2016-09-08 09:00:00,1.13072,1.0982799999999997,1.1556738461538463,2016-10-09 21:00:00,1.12013,win,0.42438347718864783,time_stop,wickdiffs_M_H4_ALL_20260121_202249.csv,88.58333333333344,1.0,30,0.9,1.3,2
