mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,planned_rr,wickdiff_special,wickdiff_file,dyn_min_sl_pips,VOL,active_trades_at_entry
M,ALL,H4,H4,NZDCAD,long,2018-04-02,2018-05-01,0.87869,0.90358,0.02489000000000008,2018-05-28 05:00:00,2018-05-28 09:00:00,0.90131,0.90151,2018-06-28 05:00:00,0.90186,0.9284700000000001,0.876201,2018-07-29 21:00:00,0.88675,time_exit,-0.5888771970848421,time_stop_30d,1.0370630188238101,,wickdiffs_M_H4_ALL_20260121_202249.csv,64.04393939393945,1.0,1
M,ALL,H4,H4,AUDUSD,long,2018-06-01,2018-07-02,0.73106,0.7407,0.009639999999999982,2018-07-30 17:00:00,2018-07-30 21:00:00,0.74032,0.74042,2018-08-01 05:00:00,0.74066,0.75034,0.7300960000000001,2018-08-10 05:00:00,0.7300960000000001,loss,-1.0,sl_hit,0.916319575918223,,wickdiffs_M_H4_ALL_20260121_202249.csv,63.40757575757563,1.0,1
M,ALL,H4,H4,NZDCHF,long,2018-06-01,2018-07-02,0.66526,0.67104,0.005780000000000007,2018-07-04 21:00:00,2018-07-05 01:00:00,0.67019,0.67052,2018-08-02 21:00:00,0.67062,0.67682,0.664682,2018-08-08 21:00:00,0.664682,loss,-1.0,sl_hit,1.0441226002020856,,wickdiffs_M_H4_ALL_20260121_202249.csv,52.83636363636363,1.0,2
M,ALL,H4,H4,GBPCAD,long,2017-12-01,2018-01-01,1.67594,1.69901,0.023069999999999924,2018-01-11 18:00:00,2018-01-11 22:00:00,1.69414,1.69432,2018-08-02 21:00:00,1.69495,1.7220799999999998,1.673633,2018-08-09 05:00:00,1.673633,loss,-1.0,sl_hit,1.272693155697323,,wickdiffs_M_H4_ALL_20260121_202249.csv,126.4696969696968,1.0,3
M,ALL,H4,H4,USDCAD,short,2018-06-01,2018-07-02,1.31345,1.33862,0.025169999999999915,2018-07-25 01:00:00,2018-07-25 05:00:00,1.31652,1.31664,2018-08-12 21:00:00,1.31583,1.28828,1.3411369999999998,2018-09-11 21:00:00,1.30668,time_exit,0.36156004267594277,time_stop_30d,1.0886316039040675,,wickdiffs_M_H4_ALL_20260121_202249.csv,91.751515151515,1.0,1
M,ALL,H4,H4,CADCHF,long,2018-06-01,2018-07-02,0.73967,0.75416,0.014490000000000003,2018-07-19 17:00:00,2018-07-19 21:00:00,0.75242,0.75252,2018-08-22 09:00:00,0.7534,0.76865,0.738221,2018-09-05 05:00:00,0.738221,loss,-1.0,sl_hit,1.0046775149878222,,wickdiffs_M_H4_ALL_20260121_202249.csv,57.39696969696968,1.0,2
M,ALL,H4,H4,USDCAD,long,2018-04-02,2018-05-01,1.25279,1.28435,0.03156000000000003,2018-05-31 05:00:00,2018-05-31 09:00:00,1.28182,1.28364,2018-10-01 01:00:00,1.28408,1.3159100000000001,1.2496340000000001,2018-10-26 13:00:00,1.3159100000000001,win,0.9240550426754934,tp_hit,0.9240550426754934,,wickdiffs_M_H4_ALL_20260121_202249.csv,82.82424242424253,1.0,1
M,ALL,H4,H4,GBPUSD,long,2018-08-01,2018-09-03,1.26622,1.29604,0.02982000000000018,2018-09-10 01:00:00,2018-09-10 05:00:00,1.28967,1.29077,2018-10-24 09:00:00,1.29224,1.3258600000000003,1.2632379999999999,2018-11-23 10:00:00,1.28496,time_exit,-0.25101717122956707,time_stop_30d,1.159230397903592,,wickdiffs_M_H4_ALL_20260121_202249.csv,98.53181818181808,1.0,2
M,ALL,H4,H4,EURJPY,long,2018-08-01,2018-09-03,124.902,128.904,4.001999999999995,2018-09-10 01:00:00,2018-09-10 05:00:00,127.866,128.063,2018-10-24 13:00:00,128.24,132.906,124.5018,2018-11-23 14:00:00,127.984,time_exit,-0.06848215718795517,time_stop_30d,1.248194318121018,,wickdiffs_M_H4_ALL_20260121_202249.csv,105.7984848484846,1.0,3
M,ALL,H4,H4,GBPUSD,short,2018-09-03,2018-10-01,1.30302,1.32992,0.026899999999999924,2018-10-22 01:00:00,2018-10-22 05:00:00,1.30758,1.30908,2018-11-06 06:00:00,1.30575,1.2761200000000001,1.33261,2018-11-15 10:00:00,1.2761200000000001,win,1.1031273268801083,tp_hit,1.1031273268801083,,wickdiffs_M_H4_ALL_20260121_202249.csv,104.5818181818182,1.0,3
M,ALL,H4,H4,GBPJPY,long,2018-10-01,2018-11-01,142.777,144.186,1.4090000000000202,2018-11-20 18:00:00,2018-11-20 22:00:00,144.034,144.072,2018-12-04 02:00:00,144.114,145.59500000000003,142.6361,2018-12-10 10:00:00,142.6361,loss,-1.0,sl_hit,1.0020975708776085,,wickdiffs_M_H4_ALL_20260121_202249.csv,139.7757575757576,1.0,1
M,ALL,H4,H4,USDJPY,long,2018-10-01,2018-11-01,111.378,112.944,1.5660000000000025,2018-11-23 10:00:00,2018-11-23 14:00:00,112.66,112.708,2018-12-04 18:00:00,112.78,114.51,111.2214,2018-12-20 14:00:00,111.2214,loss,-1.0,sl_hit,1.109970486333893,,wickdiffs_M_H4_ALL_20260121_202249.csv,60.55606060606063,1.0,2
M,ALL,H4,H4,AUDNZD,long,2018-12-03,2019-01-01,1.00415,1.04972,0.04556999999999989,2019-01-28 14:00:00,2019-01-28 18:00:00,1.04743,1.0483,2019-02-01 10:00:00,1.04924,1.0952899999999999,0.9995930000000001,2019-03-03 22:00:00,1.0414,time_exit,-0.1579148790460625,time_stop_30d,0.9275484923560342,,wickdiffs_M_H4_ALL_20260121_202249.csv,62.97878787878775,1.0,1
M,ALL,H4,H4,GBPAUD,short,2018-12-03,2019-01-01,1.8093,2.02495,0.21565000000000012,2019-01-30 06:00:00,2019-01-30 10:00:00,1.82152,1.82264,2019-02-06 22:00:00,1.82046,1.5936499999999998,2.046515,2019-03-10 21:00:00,1.84728,time_exit,-0.11864369290659388,time_stop_30d,1.0033398951582593,,wickdiffs_M_H4_ALL_20260121_202249.csv,207.8742424242423,1.0,2
M,ALL,H4,H4,AUDUSD,long,2018-12-03,2019-01-01,0.6725,0.70504,0.03254000000000001,2019-01-04 10:00:00,2019-01-04 14:00:00,0.70262,0.70345,2019-03-06 02:00:00,0.70362,0.73758,0.669246,2019-04-05 05:00:00,0.71246,time_exit,0.25717111770524104,time_stop_30d,0.9879560132658397,,wickdiffs_M_H4_ALL_20260121_202249.csv,62.93636363636358,1.0,2
