mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,wd_special,active_trades_at_entry
W,ALL,H4,H4,AUDUSD,short,2017-05-15,2017-05-22,0.745665,0.75175,0.006085000000000007,2017-05-25 13:00:00,2017-05-25 17:00:00,0.74686,0.74794,2017-05-30 17:00:00,0.74651,0.73958,0.7523585,2017-06-01 01:00:00,0.73958,win,1.1849192100538517,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,56.20606060606061,1.0,,1
W,ALL,H4,H4,GBPAUD,long,2017-06-12,2017-06-19,1.66128,1.67752,0.01623999999999981,2017-06-22 09:00:00,2017-06-22 13:00:00,1.67429,1.6767,2017-06-26 09:00:00,1.677165,1.6937599999999997,1.659656,2017-06-28 09:00:00,1.6937599999999997,win,0.947798275172751,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,155.9462121212121,1.0,,1
W,ALL,H4,H4,GBPAUD,short,2017-07-24,2017-07-31,1.64477,1.6738,0.02902999999999989,2017-08-04 09:00:00,2017-08-04 13:00:00,1.65284,1.65336,2017-08-09 05:00:00,1.64945,1.6157400000000002,1.6767029999999998,2017-09-08 05:00:00,1.62056,time_exit,1.0600667816387315,TIME_STOP_30D,wickdiffs_W_H4_ALL_20260121_202249.csv,150.8363636363635,1.0,,1
W,ALL,H4,H4,AUDUSD,long,2017-08-07,2017-08-14,0.7808,0.78954,0.00873999999999997,2017-08-17 17:00:00,2017-08-17 21:00:00,0.786995,0.78806,2017-08-24 05:00:00,0.78889,0.79828,0.779926,2017-08-29 09:00:00,0.79828,win,1.0475234270415037,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,61.90757575757576,1.0,,2
W,ALL,H4,H4,AUDCAD,long,2017-09-11,2017-09-18,0.9694,0.97639,0.006989999999999941,2017-09-22 01:00:00,2017-09-22 05:00:00,0.97506,0.9756,2017-09-26 13:00:00,0.97601,0.9833799999999999,0.9683284848484849,2017-10-13 13:00:00,0.9833799999999999,win,0.9594461319973008,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,76.81515151515156,1.0,,1
W,ALL,H4,H4,GBPNZD,short,2017-09-25,2017-10-02,1.85779,1.87243,0.014639999999999986,2017-09-29 01:00:00,2017-09-29 05:00:00,1.86088,1.86121,2017-10-09 09:00:00,1.85983,1.84315,1.8762638636363638,2017-10-16 09:00:00,1.84315,win,1.0149773887068008,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,164.3386363636365,1.0,WD-INV-VAL,2
W,ALL,H4,H4,NZDCAD,long,2017-10-16,2017-10-23,0.86942,0.87897,0.009550000000000058,2017-10-26 21:00:00,2017-10-27 01:00:00,0.87763,0.87781,2017-10-30 01:00:00,0.877845,0.8885200000000001,0.8684649999999999,2017-10-31 21:00:00,0.8885200000000001,win,1.1380597014925413,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,83.25757575757571,1.0,,1
W,ALL,H4,H4,EURCHF,short,2017-11-20,2017-11-27,1.16891,1.17372,0.004810000000000203,2017-12-01 10:00:00,2017-12-01 14:00:00,1.1708,1.17156,2017-12-07 10:00:00,1.16961,1.1640999999999997,1.1756463636363637,2017-12-12 14:00:00,1.1640999999999997,win,0.9128012048193337,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,60.36363636363643,1.0,,1
W,ALL,H4,H4,EURNZD,long,2018-01-01,2018-01-08,1.65217,1.6784,0.026229999999999976,2018-01-12 14:00:00,2018-01-12 18:00:00,1.67454,1.67531,2018-01-17 14:00:00,1.67698,1.7046299999999999,1.6495469999999999,2018-02-02 14:00:00,1.7046299999999999,win,1.0079101811686622,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,149.6030303030304,1.0,,1
W,ALL,H4,H4,AUDNZD,long,2018-01-08,2018-01-15,1.08442,1.09159,0.007170000000000121,2018-01-15 10:00:00,2018-01-15 14:00:00,1.089815,1.08999,2018-01-23 02:00:00,1.09007,1.0987600000000002,1.083028181818182,2018-01-24 18:00:00,1.0987600000000002,win,1.2340562871159433,TP,wickdiffs_W_H4_ALL_20260121_202249.csv,70.41818181818181,1.0,WD-INV-VAL,2
