mode,wd_variant,wd_source_ltf,entry_ltf,pair,direction,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,wd_first_time,wd_second_time,wd_low,wd_high,entry_time,entry_price,tp_price,sl_price,exit_time,exit_price,result,rr_signed,exit_reason,wickdiff_file,dyn_min_sl_pips,VOL,wd_special,active_trades_at_entry
M,ALL,H4,H4,CADCHF,long,2020-03-02,2020-04-01,0.66057,0.68348,0.022909999999999986,2020-04-22 01:00:00,2020-04-22 05:00:00,0.68138,0.68164,2020-05-01 13:00:00,0.6819,0.70639,0.658279,2020-05-27 09:00:00,0.70639,win,1.0367892976588633,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,80.40757575757574,1.0,,1
M,ALL,H4,H4,NZDUSD,long,2020-03-02,2020-04-01,0.54694,0.59616,0.04922000000000004,2020-04-22 21:00:00,2020-04-23 01:00:00,0.59106,0.59262,2020-05-15 13:00:00,0.59278,0.6453800000000001,0.542018,2020-06-04 13:00:00,0.6453800000000001,win,1.036208187226668,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,105.3181818181818,1.0,,2
M,ALL,H4,H4,CADCHF,short,2020-05-01,2020-06-01,0.69784,0.72023,0.02239000000000002,2020-06-24 09:00:00,2020-06-24 13:00:00,0.69878,0.69885,2020-07-01 05:00:00,0.69858,0.67545,0.722469,2020-07-31 01:00:00,0.67545,win,0.968228054753231,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,66.37121212121214,1.0,,1
M,ALL,H4,H4,EURNZD,short,2020-05-01,2020-06-01,1.78966,1.8265,0.036839999999999984,2020-05-29 13:00:00,2020-05-29 17:00:00,1.79524,1.79814,2020-08-12 01:00:00,1.79078,1.75282,1.830184,2020-09-02 13:00:00,1.75282,win,0.9633539742158156,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,149.5348484848486,1.0,,1
M,ALL,H4,H4,GBPUSD,long,2020-09-01,2020-10-01,1.26752,1.29246,0.024939999999999962,2020-10-29 13:00:00,2020-10-29 17:00:00,1.28811,1.29016,2020-11-02 02:00:00,1.2903,1.3174,1.265026,2020-11-06 14:00:00,1.3174,win,1.0722481601645915,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,123.5151515151515,1.0,WD-INV-VAL,1
M,ALL,H4,H4,GBPAUD,long,2020-12-01,2021-01-01,1.74162,1.77695,0.035330000000000084,2021-01-25 10:00:00,2021-01-25 14:00:00,1.7697,1.7698,2021-02-25 06:00:00,1.77151,1.8122800000000001,1.738087,2021-03-25 13:00:00,1.8122800000000001,win,1.2198186877300128,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,135.6212121212121,1.0,WD-INV-VAL,1
M,ALL,H4,H4,CHFJPY,long,2021-02-01,2021-03-01,115.914,117.295,1.3810000000000002,2021-03-30 13:00:00,2021-03-30 17:00:00,116.856,117.014,2021-04-01 01:00:00,117.039,118.676,115.77590000000001,2021-04-12 13:00:00,118.676,win,1.2960177341461545,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,62.94696969696971,1.0,WD-INV-VAL,1
M,ALL,H4,H4,CADCHF,long,2021-11-01,2021-12-01,0.70975,0.71874,0.008990000000000054,2021-12-31 10:00:00,2021-12-31 14:00:00,0.71632,0.71728,2022-01-06 02:00:00,0.71768,0.7277300000000001,0.708851,2022-01-10 02:00:00,0.7277300000000001,win,1.1382942575603288,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,53.10303030303032,1.0,,1
M,ALL,H4,H4,USDCAD,short,2021-11-01,2021-12-01,1.27776,1.2964,0.01863999999999999,2021-12-30 06:00:00,2021-12-30 10:00:00,1.28099,1.28128,2022-01-06 06:00:00,1.27851,1.25912,1.298264,2022-01-11 14:00:00,1.25912,win,0.9815733522324577,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,78.17272727272727,1.0,,2
M,ALL,H4,H4,GBPUSD,short,2021-12-01,2022-01-03,1.35311,1.37489,0.02177999999999991,2022-01-21 10:00:00,2022-01-21 14:00:00,1.35734,1.35766,2022-02-02 10:00:00,1.35602,1.3313300000000001,1.377068,2022-02-24 14:00:00,1.3313300000000001,win,1.173033067274797,TP,wickdiffs_M_H4_ALL_20260121_202249.csv,84.419696969697,1.0,,1
