pair,pivot_type,pivot_first_time,pivot_second_time,pivot_low,pivot_high,pivot_range,pivot_touch_time,ltf,wd_first_time,wd_second_time,wd_low,wd_high,wd_range,wd_pct_of_pivot,htf_wd_low,htf_wd_high,pending_until_pivot_touch
CHFJPY,long,2024-04-08 00:00,2024-04-15 00:00,167.23,167.622,0.39200000000002433,2024-04-29 00:00,H4,2024-04-10 21:00,2024-04-11 01:00,167.312,167.344,0.031999999999982265,0.08163265306117418,167.23,167.584,False
CHFJPY,long,2024-04-08 00:00,2024-04-15 00:00,167.23,167.622,0.39200000000002433,2024-04-29 00:00,H4,2024-04-12 17:00,2024-04-14 21:00,167.563,167.584,0.021000000000015007,0.05357142857146353,167.23,167.584,False
CHFJPY,short,2024-01-01 00:00,2024-01-08 00:00,170.09,171.494,1.4039999999999964,2024-01-15 00:00,H4,2024-01-11 10:00,2024-01-11 14:00,171.231,171.494,0.26300000000000523,0.18732193732194152,170.813,171.494,False
CHFJPY,short,2024-02-19 00:00,2024-02-26 00:00,170.844,171.7,0.8559999999999945,2024-04-22 00:00,H4,2024-02-28 18:00,2024-02-28 22:00,171.49,171.516,0.025999999999982037,0.030373831775680146,171.516,171.7,False
CHFJPY,short,2024-03-18 00:00,2024-03-25 00:00,168.754,170.804,2.0500000000000114,2024-04-15 00:00,H4,2024-03-21 09:00,2024-03-21 13:00,169.02,169.361,0.34099999999997976,0.16634146341462336,168.804,170.804,False
CHFJPY,short,2024-03-18 00:00,2024-03-25 00:00,168.754,170.804,2.0500000000000114,2024-04-15 00:00,H4,2024-03-21 17:00,2024-03-21 21:00,168.952,168.995,0.043000000000006366,0.02097560975610055,168.804,170.804,False
CHFJPY,short,2024-03-18 00:00,2024-03-25 00:00,168.754,170.804,2.0500000000000114,2024-04-15 00:00,H4,2024-03-22 17:00,2024-03-24 21:00,168.804,168.842,0.038000000000010914,0.01853658536585888,168.804,170.804,False
CHFJPY,short,2024-04-01 00:00,2024-04-08 00:00,168.089,168.485,0.396000000000015,2024-04-15 00:00,H4,2024-04-11 17:00,2024-04-11 21:00,168.466,168.485,0.019000000000005457,0.04797979797980994,168.485,168.485,False
CHFJPY,short,2024-05-06 00:00,2024-05-13 00:00,171.846,172.718,0.8719999999999857,2024-05-20 00:00,H4,2024-05-15 01:00,2024-05-15 05:00,172.664,172.694,0.030000000000001137,0.03440366972477251,172.054,172.718,False
EURAUD,long,2024-01-22 00:00,2024-01-29 00:00,1.63506,1.65067,0.015610000000000124,2024-02-05 00:00,H4,2024-01-30 02:00,2024-01-30 06:00,1.63506,1.63572,0.000660000000000105,0.042280589365797545,1.63506,1.64296,False
